gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,-.0727128,-.1638966,-.0851279,.003129,-10.67021,.0000229,.0003704,6.04e-20,1.50e-07,.0000236,3,3,3,3,3
2,10,-.1642588,-.0422829,-.1307684,.0030694,4.309733,.0001126,.4460317,3.89e-11,.11187,.0016824,3,0,3,0,3
3,10,-.0886681,.0101593,-.1433442,-.0018901,2.756267,.0010538,.7822379,4.41e-19,.0024843,1.68e-10,3,0,3,3,3
1,20,-.0495215,-.182687,-.0865455,.0028699,-12.08663,.00059,.0001038,3.18e-25,6.07e-08,1.05e-07,3,3,3,3,3
2,20,-.1079054,-.0513585,-.1334838,-.0001346,4.791189,4.78e-07,.4446772,3.43e-23,.9325789,9.76e-09,3,0,3,0,3
3,20,.0249213,-.0731096,-.1829521,-.0021727,1.735172,.2382853,.1742646,6.15e-24,.0001152,4.40e-08,0,0,3,3,3
1,30,-.0193524,-.1189258,-.0952569,.0024164,-12.56067,.1105624,.0044653,6.37e-33,2.09e-07,3.61e-10,0,3,3,3,3
2,30,-.0796331,-.0477435,-.1349461,.0004442,5.692624,2.47e-06,.3872244,3.27e-33,.6893883,.0000184,3,0,3,0,3
3,30,.0476245,-.1042308,-.1906761,-.0015605,1.729513,.0232876,.1153356,7.62e-31,.0017829,9.16e-09,2,0,3,3,3
1,60,.0194672,.0218681,-.1123838,.0012589,-8.853094,.0290709,.6400657,0,.0001116,4.97e-10,2,0,3,3,3
2,60,-.0350883,-.2768692,-.0883072,-.0006748,2.597531,.0000857,.070131,1.13e-12,.7401589,.0001136,3,1,3,0,3
3,60,.0505693,-.1318349,-.1490832,-.0012582,.8791014,.0030399,.0367945,2.95e-19,.0011885,1.08e-06,3,2,3,3,3
1,90,.016187,.079692,-.1087027,.0007764,-5.99673,.0273028,.0596622,0,.0031486,2.96e-08,2,1,3,3,3
2,90,-.0506849,-.2493296,-.0687228,-.0000391,2.091213,2.25e-14,.129798,.0000169,.9739724,.0000849,3,0,3,0,3
3,90,.032369,-.2175161,-.1143478,-.0002227,.5821158,.0006877,8.93e-06,1.14e-28,.2658188,8.34e-10,3,3,3,0,3
1,120,.0016621,.1494559,-.102729,.0006709,-3.714576,.7836235,.0042251,0,.0009119,1.53e-06,0,3,3,3,3
2,120,-.0599258,-.226013,-.0524317,.0001362,1.579083,1.22e-13,.1412128,.000027,.7862273,8.63e-07,3,0,3,0,3
3,120,.0278862,-.2364116,-.0971571,.0001101,.3803834,3.53e-06,8.78e-08,3.34e-37,.5071964,.0000106,3,3,3,0,3
1,150,-.0035236,.1468224,-.0930533,.0006306,-2.97511,.5209069,.0515467,0,.0004277,.0000797,0,1,3,3,3
2,150,-.0524189,-.3695944,-.0354466,.0001241,1.424962,8.10e-10,.0086885,.000711,.7034296,7.35e-08,3,3,3,0,3
3,150,.0288889,-.2207037,-.0885234,.0003544,.2240222,.0005356,.0000514,1.10e-22,.0665158,.0323461,3,3,3,1,2
1,180,.0036399,.1196611,-.0866577,.0004585,-2.896164,.5150151,.155073,2.59e-37,.0090332,.0003649,0,0,3,3,3
2,180,-.0490974,-.471322,-.02266,-.0001952,1.505755,5.72e-06,.0504469,.1894044,.5958275,.0000384,3,1,0,0,3
3,180,.0335342,-.1800806,-.0867022,.0005047,.1037086,.0003772,.005919,6.23e-18,.0160541,.3379105,3,3,3,2,0
