gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.0774297,.1946358,.0888007,-.0004133,5.951994,.0000612,.0000469,9.01e-18,.5551186,3.37e-06,3,3,3,0,3
2,10,.0671681,.1859587,.2029159,-.0008303,-4.652349,4.09e-07,.000207,1.82e-29,.3350898,1.94e-07,3,3,3,0,3
3,10,.0655225,.2107788,.1762139,.0016528,-4.023578,.0017708,9.98e-09,5.33e-31,.0229059,5.06e-08,3,3,3,2,3
1,20,.0460974,.178924,.0901653,-.0000237,5.265296,.0000916,.0004577,1.19e-28,.9628539,8.86e-09,3,3,3,0,3
2,20,.0387326,.2365745,.1825446,-.001122,-4.205248,.0007202,3.82e-07,0,.0538246,1.14e-13,3,3,3,1,3
3,20,-.0181576,.3394993,.1651505,.0016778,-1.935638,.2158758,2.44e-16,0,.0005925,.000015,0,3,3,3,3
1,30,.0095767,.0938876,.1012113,-.0000969,4.817478,.3181902,.059681,0,.8047181,2.01e-12,0,1,3,0,3
2,30,.0196219,.2724837,.1566534,-.0007889,-3.391532,.0639826,2.93e-08,1.91e-32,.1228631,5.54e-11,1,3,3,0,3
3,30,-.0427914,.4093264,.1416877,.0018881,-.9264663,.000281,4.55e-20,0,3.01e-06,.0107163,3,3,3,3,2
1,60,-.0007067,.0827058,.0969917,-.0003105,2.516523,.9061442,.0709746,0,.1648257,2.49e-11,0,1,3,0,3
2,60,.019661,.4272088,.1030105,-.0010308,-2.697994,.0003579,2.79e-17,1.91e-37,.0005269,3.31e-20,3,3,3,3,3
3,60,-.0323216,.5567023,.0948271,.0007961,-.6271994,9.07e-06,1.02e-29,0,.001945,.003107,3,3,3,3,3
1,90,.0045384,.0663557,.0830733,.0000586,1.805192,.4157085,.0866293,0,.7239295,7.95e-09,0,1,3,0,3
2,90,.0235031,.6588935,.0498626,-.0006056,-1.923819,4.06e-12,6.52e-13,2.74e-10,.0829237,6.80e-21,3,3,3,1,3
3,90,-.0114721,.6188225,.0613994,.000283,-.4506027,.0089405,1.13e-36,6.05e-32,.0787502,.0004381,3,3,3,1,3
1,120,.0128382,.1201639,.068502,.0000819,1.055334,.0036009,.0092263,0,.5116419,.0000166,3,3,3,0,3
2,120,.02895,.6132262,.033531,-.0004106,-1.400006,9.71e-09,5.90e-08,.0000529,.0689937,2.10e-18,3,3,3,1,3
3,120,-.002482,.6100645,.0432638,.0001147,-.2413659,.5048291,0,5.88e-24,.3471039,.0059353,0,3,3,0,3
1,150,.0208494,.1976835,.0542225,.0000167,.3946129,1.20e-08,1.23e-12,0,.8682775,.0290726,3,3,3,0,2
2,150,.0298728,.5958989,.0221277,-.0002775,-1.061293,6.78e-09,9.87e-10,.0013024,.0470174,3.79e-16,3,3,3,2,3
3,150,.0000623,.5610685,.0374362,-.0000503,-.1805263,.986955,8.23e-38,4.99e-20,.6243495,.0297876,0,3,3,0,2
1,180,.0230313,.2291338,.0462486,.0000489,.0294922,1.41e-11,6.03e-17,0,.5975999,.8547555,3,3,3,0,0
2,180,.0315555,.6166608,.0106745,-.0000648,-.8421221,3.35e-09,7.70e-12,.0809024,.5960477,5.24e-14,3,3,1,0,3
3,180,-.0015435,.5117469,.0347976,-.0001263,-.0610758,.7223977,2.25e-29,1.48e-14,.2090712,.4437651,0,3,3,0,0
