gruppo,ttm,vol,index,c,smt,ac,Svol,Si,Sc,Ssenstiment,Sac,starsvol,starsindex,starsc,starsmt,starsac
1,10,.1889071,-.0108476,.0052822,-.0046757,-1.331071,1.54e-16,.7448224,.4482875,.0000705,2.08e-13,3,0,0,3,3
2,10,.1064203,.1904194,.0070437,-.0132299,-1.091324,1.21e-07,.0848465,.7825254,.0080645,5.71e-08,3,1,0,3,3
3,10,-.0895603,.0621042,.1998303,-.0158858,-.8394253,.0000759,.0657564,7.27e-31,1.72e-14,3.11e-27,3,1,3,3,3
1,20,.1622242,-.0675851,.0072914,-.0045221,-.8335075,7.53e-17,.0358921,.2527227,3.46e-06,1.16e-10,3,2,0,3,3
2,20,.1052018,.0576967,.0062162,-.0131127,-.8966003,1.09e-14,.5760183,.7750937,.0002311,1.49e-09,3,0,0,3,3
3,20,-.0613418,.0609076,.1482102,-.0115723,-.5354558,.0018872,.0753394,3.44e-27,4.22e-14,1.63e-21,3,1,3,3,3
1,30,.1703943,-.1006753,.0019935,-.0034674,-.6591316,4.86e-20,.0006314,.7247913,.0000656,1.74e-08,3,3,0,3,3
2,30,.0872238,-.0796866,.025378,-.0148313,-.7781805,7.16e-14,.4462417,.2136367,3.71e-06,3.91e-12,3,0,0,3,3
3,30,-.0458947,.0581616,.1197859,-.009153,-.3804682,.0060162,.0995888,2.64e-27,3.22e-13,1.14e-17,3,1,3,3,3
1,60,.1855145,-.1161588,-.0108467,-.0028497,-.4044234,2.30e-24,.000824,.0475186,.0000565,.0000117,3,3,2,3,3
2,60,.0827897,-.0368737,-.0077146,-.0075658,-.4278367,9.22e-15,.7213766,.6562583,.0001295,2.05e-14,3,0,0,3,3
3,60,-.018998,-.0426539,.0870354,-.0057312,-.2312199,.0868832,.2812344,6.81e-27,1.80e-11,1.30e-12,1,0,3,3,3
1,90,.1852779,-.0567281,-.0207575,-.0022191,-.2857799,2.03e-26,.1233297,.0001322,.0002871,.0001957,3,0,3,3,3
2,90,.0632739,-.0068992,-.0085636,-.0062042,-.3179321,8.19e-10,.9500953,.5829139,.0000257,3.55e-12,3,0,0,3,3
3,90,-.0029327,-.2601411,.085102,-.0038414,-.2222303,.7435833,3.69e-10,1.25e-31,1.56e-09,4.82e-17,0,3,3,3,3
1,120,.169135,-.1131042,-.0159155,-.0021151,-.2112801,2.13e-29,.0780564,.0041937,.0000791,.0028762,3,1,3,3,3
2,120,.0325397,-.0726059,.0137311,-.0071699,-.2701154,.0010944,.4928596,.2954131,2.26e-09,1.70e-11,3,0,0,3,3
3,120,-.0142735,-.373522,.0893394,-.0024931,-.1864474,.0819294,2.82e-20,3.82e-36,1.44e-06,1.28e-18,1,3,3,3,3
1,150,.1545529,-.2015555,-.0086689,-.0021197,-.1368113,1.43e-30,1.04e-07,.0490825,8.27e-06,.0190953,3,3,2,3,2
2,150,-.0031916,-.0441186,.0317253,-.0070366,-.2586461,.7390047,.696041,.0070881,3.71e-14,9.54e-12,0,0,3,3,3
3,150,-.0114885,-.4055868,.0829115,-.0020432,-.1617864,.1322859,3.38e-26,7.10e-34,3.26e-06,8.45e-20,0,3,3,3,3
1,180,.1283098,-.188873,-.0033101,-.0020635,-.0900533,4.26e-26,4.67e-08,.3858397,2.05e-06,.0924204,3,3,0,3,1
2,180,-.011385,-.1357465,.0416288,-.0066963,-.2286209,.3636463,.2433553,.0006983,9.27e-16,5.48e-10,0,0,3,3,3
3,180,-.0222096,-.4693207,.086731,-.0016407,-.1479991,.0044026,1.41e-34,4.47e-33,7.34e-06,2.14e-21,3,3,3,3,3
